Order	Score	Word	IsRandom	Ngrams
179	25.02	katherine  	 	he(3.80), at(3.66), th(3.64), ka(3.11), ne(3.08), in(2.66), er(2.62), ri(2.45)
180	24.97	izabella   	 	iz(5.41), za(4.11), ab(3.95), be(3.60), ll(3.04), la(2.56), el(2.29)
181	24.96	crosby     	 	sb(6.92), cr(5.31), by(5.13), os(4.24), ro(3.36)
182	24.95	cassius    	 	iu(5.82), si(4.24), us(4.18), ss(4.11), as(3.38), ca(3.22)
183	24.91	fernando   	 	rn(5.31), fe(5.31), do(4.03), nd(3.39), er(2.62), na(2.48), an(1.78)
184	24.88	beckham    	 	kh(5.82), ec(5.13), ck(4.32), be(3.60), am(3.10), ha(2.92)
185	24.84	georgia    	 	rg(5.53), eo(4.67), gi(4.39), ge(4.08), or(3.68), ia(2.49)
186	24.82	benjamin   	 	nj(6.92), be(3.60), mi(3.18), am(3.10), ja(3.05), in(2.66), en(2.31)
187	24.77	aubrianna  	 	ub(5.41), au(4.18), br(3.12), nn(2.87), ia(2.49), na(2.48), ri(2.45), an(1.78)
188	24.77	izabelle   	 	iz(5.41), za(4.11), ab(3.95), be(3.60), ll(3.04), le(2.36), el(2.29)
189	24.75	matthias   	 	hi(4.62), tt(4.39), at(3.66), th(3.64), as(3.38), ma(2.58), ia(2.49)
190	24.72	alfredo    	 	lf(6.00), fr(4.90), ed(4.28), do(4.03), re(2.94), al(2.57)
191	24.70	cheyenne   	 	ye(5.53), he(3.80), ch(3.78), ey(3.33), ne(3.08), nn(2.87), en(2.31)
192	24.67	brittany   	 	ny(4.67), tt(4.39), it(4.24), ta(4.03), br(3.12), ri(2.45), an(1.78)
193	24.66	agustin    	 	gu(5.31), ag(5.21), us(4.18), ti(3.80), st(3.50), in(2.66)
194	24.60	kiersten   	 	rs(5.13), ki(4.35), te(3.74), st(3.50), ie(2.96), er(2.62), en(2.31)
